fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
4	100	Popularity	1.0	0.0	0.0	0.0
4	100	Normalized kNN (test)	1.0	0.0	0.0	0.0
4	100	Average Rating	1.0	0.0	0.0	0.0
4	100	Normalized kNN (full)	1.0	0.0	0.0	0.0
4	100	kNN (full/test)	1.0	0.0	0.0	0.0
4	100	iMF (test)	1.0	0.0	0.0	0.0
5	100	Random	1.0	0.0	0.0	0.0
5	100	iMF (full)	1.0	0.0	0.0	0.0
5	100	Popularity	1.0	0.0	0.0	0.0
5	100	Normalized kNN (test)	1.0	0.0	0.0	0.0
5	100	Average Rating	1.0	0.0	0.0	0.0
5	100	Normalized kNN (full)	1.0	0.0	0.0	0.0
5	100	kNN (full/test)	1.0	0.0	0.0	0.0
5	100	iMF (test)	1.0	0.0	0.0	0.0
1	200	Random	1.0	0.0	0.0	0.0
1	200	iMF (full)	1.0	0.0	0.0	0.0
1	200	Popularity	1.0	0.0	0.0	0.0
1	200	Normalized kNN (test)	1.0	0.0	0.0	0.0
1	200	Average Rating	1.0	0.0	0.0	0.0
1	200	Normalized kNN (full)	1.0	0.0	0.0	0.0
1	200	kNN (full/test)	1.0	0.0	0.0	0.0
1	200	iMF (test)	1.0	0.0	0.0	0.0
2	200	Random	1.0	0.0	0.0	0.0
2	200	iMF (full)	1.0	0.0	0.0	0.0
2	200	Popularity	1.0	0.0	0.0	0.0
2	200	Normalized kNN (test)	1.0	0.0	0.0	0.0
2	200	Average Rating	1.0	0.0	0.0	0.0
2	200	Normalized kNN (full)	1.0	0.0	0.0	0.0
2	200	kNN (full/test)	1.0	0.0	0.0	0.0
2	200	iMF (test)	1.0	0.0	0.0	0.0
3	200	Random	1.0	0.0	0.0	0.0
3	200	iMF (full)	1.0	0.0	0.0	0.0
3	200	Popularity	1.0	0.0	0.0	0.0
3	200	Normalized kNN (test)	1.0	0.0	0.0	0.0
3	200	Average Rating	1.0	0.0	0.0	0.0
3	200	Normalized kNN (full)	1.0	0.0	0.0	0.0
3	200	kNN (full/test)	1.0	0.0	0.0	0.0
3	200	iMF (test)	1.0	0.0	0.0	0.0
4	200	Random	1.0	0.0	0.0	0.0
4	200	iMF (full)	1.0	0.0	0.0	0.0
4	200	Popularity	1.0	0.0	0.0	0.0
4	200	Normalized kNN (test)	1.0	0.0	0.0	0.0
4	200	Average Rating	1.0	0.0	0.0	0.0
4	200	Normalized kNN (full)	1.0	0.0	0.0	0.0
4	200	kNN (full/test)	1.0	0.0	0.0	0.0
