target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
20	iMF (test)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	iMF (test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Normalized kNN (full)	Normalized kNN (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	Normalized kNN (full)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	Normalized kNN (full)	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
20	kNN (full/test)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	kNN (full/test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1000	kNN (full/test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	Normalized kNN (full)	Random	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	Normalized kNN (full)	Normalized kNN (test)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	Normalized kNN (full)	Average Rating	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	Normalized kNN (full)	kNN (full/test)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	Normalized kNN (full)	Popularity	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	Normalized kNN (full)	iMF (test)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Average Rating	Popularity	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Average Rating	kNN (full/test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Average Rating	iMF (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Average Rating	Normalized kNN (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Average Rating	Normalized kNN (full)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Popularity	kNN (full/test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Popularity	iMF (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Popularity	Normalized kNN (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Popularity	Normalized kNN (full)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	iMF (test)	Popularity	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	iMF (test)	Average Rating	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	iMF (test)	iMF (full)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	iMF (test)	Normalized kNN (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	iMF (test)	kNN (full/test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Popularity	Average Rating	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Popularity	iMF (full)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Popularity	Normalized kNN (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Popularity	kNN (full/test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (full)	kNN (full/test)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (full)	Random	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (full)	Popularity	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (full)	Average Rating	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
3706	Average Rating	Random	0.0	0.9997516967389505	0.9997516967389505	0.9997516967389505
3706	Average Rating	iMF (test)	0.0	0.9997516967389505	0.9997516967389505	0.9997516967389505
3706	Average Rating	Normalized kNN (test)	0.0	0.9997930806157921	0.9997930806157921	0.9997930806157921
3706	Average Rating	Popularity	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	Average Rating	Normalized kNN (full)	0.0	0.9997516967389505	0.9997516967389505	0.9997516967389505
1	kNN (full/test)	Random	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	kNN (full/test)	Popularity	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	kNN (full/test)	Average Rating	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Normalized kNN (test)	Average Rating	0.0	0.9997516967389505	0.9997516967389505	0.9997516967389505
500	Normalized kNN (test)	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
0	Average Rating	iMF (full)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Average Rating	Normalized kNN (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
