target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
200	Popularity	iMF (test)	NaN	0.7532537062310074	1.0	0.8398315857370982
200	Popularity	Random	NaN	0.010897810221795956	0.012408382700458595	0.0780094898797648
200	Popularity	Normalized kNN (full)	NaN	0.36605600288963214	0.8185512452154793	0.33365421083857494
200	Popularity	kNN (full/test)	NaN	0.04314270509290298	0.04985820121278557	0.157427459915631
200	Popularity	Normalized kNN (test)	NaN	0.2576781434750701	0.5049963368339903	0.288557659950492
100	iMF (test)	Normalized kNN (full)	NaN	0.6416961075547077	0.2568476950168205	0.30372867903139045
100	iMF (test)	kNN (full/test)	NaN	0.1361273580370601	0.08326451639882862	0.2873125863389656
100	iMF (test)	Average Rating	NaN	0.16392002695585528	0.1444034032362701	0.26208273657243186
100	iMF (test)	Random	NaN	0.044345245317816806	0.024350068767660174	0.9121720315268748
500	Random	Normalized kNN (full)	NaN	0.0455827324824465	0.03480574594321865	0.0805725435352172
500	Random	Normalized kNN (test)	NaN	0.2396333403099451	0.1819317300130726	0.4724211021207324
500	Random	Average Rating	NaN	0.25115482420088153	0.2568476950168205	0.6327693392003269
500	Random	iMF (full)	NaN	0.01696614668914072	0.016153865596391672	0.050867430889178576
1	iMF (full)	Normalized kNN (test)	NaN	0.8811707728813245	0.7054652861517304	0.5118926035008686
1	iMF (full)	Normalized kNN (full)	NaN	0.31428430302555266	0.4142274473464066	0.4607946768576028
1	iMF (full)	kNN (full/test)	NaN	0.6012509214014726	0.4142274473464066	0.4607946768576028
1	iMF (full)	Random	NaN	0.0097090502001833	0.011613985336876059	0.024270955616728918
1	iMF (full)	Popularity	NaN	0.05794465202588887	0.08955546436587702	0.12269165957820294
1	iMF (full)	Average Rating	NaN	0.9006128915874618	1.0	0.5867375437641231
10	iMF (test)	Normalized kNN (full)	NaN	0.11774291832846007	0.17971789835638685	0.31993843765635954
10	iMF (test)	Random	NaN	0.012078113511702938	0.008633530341435356	0.14580962158396316
50	iMF (test)	kNN (full/test)	NaN	0.28436190905787573	0.4142274473464066	0.330530806981312
50	iMF (test)	Normalized kNN (test)	NaN	0.0797423471284138	0.13057286094288467	0.1752681408820591
50	iMF (test)	Random	NaN	0.007185251863920113	0.00850637020802999	0.09054703803098796
50	iMF (test)	Average Rating	NaN	0.1100256812070094	0.07054521368006897	0.20542788929340605
1	Normalized kNN (test)	Normalized kNN (full)	NaN	0.07865252039991137	0.3173205218602554	0.3173205218602554
1	Normalized kNN (test)	kNN (full/test)	NaN	0.3616534429389424	0.3173205218602554	0.3173205218602554
1	Normalized kNN (test)	Random	NaN	0.00937071550320853	0.012603400873478388	0.044527651181758846
1	Normalized kNN (test)	Popularity	NaN	0.0977805901247557	0.11666650149664304	0.1746164447355376
1	Normalized kNN (test)	Average Rating	NaN	0.9705113057125442	0.5637136200063806	0.6081861330026177
20	iMF (test)	kNN (full/test)	NaN	0.11455586373467763	0.17971789835638685	0.2621799633448705
20	iMF (test)	Average Rating	NaN	0.2645692835982758	0.23932439357491564	0.29885639665130637
20	iMF (test)	Normalized kNN (full)	NaN	0.14692205554016036	0.15730350179166896	0.22225734106604844
500	Normalized kNN (full)	Normalized kNN (test)	NaN	0.012055716501261478	0.013325342484970176	0.023337143490865183
500	Normalized kNN (full)	Average Rating	NaN	0.024496539047484396	0.02091824415008565	0.030115784744232117
500	Normalized kNN (full)	iMF (full)	NaN	0.22072689243873678	0.2935200677305052	0.19443978425863362
20	kNN (full/test)	Average Rating	NaN	0.07407537544066131	0.049532593122226465	0.2743186387563028
20	kNN (full/test)	Normalized kNN (full)	NaN	0.3236388393443054	0.3173205218602554	0.3173205218602554
1000	kNN (full/test)	Average Rating	NaN	0.00895828296158258	0.009006224586853137	0.02954841090228083
1000	kNN (full/test)	iMF (test)	NaN	0.07044990524792465	0.07004051916641996	0.12959128321355473
1000	kNN (full/test)	Random	NaN	0.014693574841620044	0.012168566160705193	0.03082716146867
1000	kNN (full/test)	iMF (full)	NaN	0.8791899343090898	0.8526881525101347	0.39802687229106704
1000	kNN (full/test)	Normalized kNN (test)	NaN	0.010018848091080114	0.009319628200198122	0.05168116762946169
1000	kNN (full/test)	Popularity	NaN	0.7984625679020732	0.5929904804534885	0.9880515768869489
1000	kNN (full/test)	Normalized kNN (full)	NaN	0.03282448728295212	0.02798884870378984	0.11296777614236986
5	Normalized kNN (full)	Random	NaN	0.014752068895245258	0.015625814677312673	0.08981683021666875
5	Normalized kNN (full)	Normalized kNN (test)	NaN	0.07564678166259113	0.08326451639882862	0.14310542944210114
5	Normalized kNN (full)	Average Rating	NaN	0.08932271219599675	0.10247161913438174	0.2529121795747733
5	Normalized kNN (full)	kNN (full/test)	NaN	0.7983742576350112	0.3173205218602554	0.3173205218602554
5	Normalized kNN (full)	Popularity	NaN	0.051171746540782784	0.04108476961960036	0.21839998385581982
5	Normalized kNN (full)	iMF (test)	NaN	0.48197584814146377	0.3173205218602554	0.3173205218602554
2	Average Rating	Popularity	NaN	0.04094918168521901	0.07070036760517041	0.08792522769307987
